lea_id,district_name,county,data_status,excluded_from_scatter,named_outlier,inverse_grad_strong,cohort_size_2025,all_grad_2025,all_ela_2025,all_math_2025,diploma_vs_skills_gap,white_grad_2025,white_cohort_2025,white_ela_2025,white_math_2025,hispanic_grad_2025,hispanic_cohort_2025,hispanic_ela_2025,hispanic_math_2025,native_grad_2025,native_cohort_2025,native_ela_2025,native_math_2025,black_grad_2025,asian_grad_2025,swd_grad_2025,white_hisp_grad_gap,white_hisp_ela_gap,white_hisp_math_gap
4411,Sahuarita Unified District,Pima County,complete,False,False,False,632.0,91.1,40.0,30.0,56.099999999999994,91.0,200.0,51.0,42.0,92.0,375.0,36.0,24.0,,,12.0,12.0,92.9,,79.6,-1.0,15.0,18.0
4397,Blue Ridge Unified School District No. 32,Navajo County,complete,False,False,False,173.0,87.3,35.0,28.0,55.8,86.6,82.0,49.0,45.0,,40.0,21.0,12.0,,41.0,22.0,13.0,,,,,28.0,33.0
4175,Sierra Vista Unified District,Cochise County,complete,False,False,False,438.0,91.1,45.0,27.0,55.099999999999994,91.9,197.0,53.0,34.0,,165.0,40.0,21.0,,,,,,,,,13.0,13.0
4218,Safford Unified District,Graham County,complete,False,False,True,266.0,78.6,27.0,20.0,55.099999999999994,71.3,108.0,30.0,31.0,85.3,143.0,24.0,13.0,80.0,,50.0,,,,68.6,-14.0,6.0,18.0
4219,Thatcher Unified District,Graham County,complete,False,False,False,,95.7,45.0,37.0,54.7,98.0,,51.0,41.0,87.9,,20.0,26.0,,,,,,,89.5,10.099999999999994,31.0,15.0
4252,Nadaburg Unified School District,Maricopa County,complete,False,False,False,92.0,84.8,39.0,22.0,54.3,84.1,,51.0,32.0,85.4,,34.0,14.0,,,,,50.0,,92.9,-1.3000000000000114,17.0,18.0
4236,Wickenburg Unified District,Maricopa County,complete,False,False,True,125.0,83.2,31.0,28.0,53.7,77.9,68.0,40.0,42.0,90.0,,22.0,14.0,,,,,,,94.1,-12.099999999999994,18.0,28.0
4403,Tucson Unified District,Pima County,complete,False,False,False,3414.0,82.7,35.0,23.0,53.7,84.2,608.0,56.0,40.0,81.4,2116.0,29.0,16.0,,110.0,16.0,10.0,84.6,85.9,77.0,2.799999999999997,27.0,24.0
4237,Peoria Unified School District,Maricopa County,complete,False,False,False,3076.0,94.2,46.0,36.0,53.2,96.1,1469.0,55.0,46.0,93.0,1111.0,36.0,24.0,93.8,,27.0,27.0,86.5,94.8,92.5,3.0999999999999943,19.0,22.0
4445,J O Combs Unified School District,Pinal County,complete,False,False,False,406.0,87.2,37.0,31.0,53.2,88.0,200.0,51.0,39.0,86.5,156.0,21.0,22.0,,,,,,80.0,85.4,1.5,30.0,17.0
4235,Mesa Unified District,Maricopa County,complete,False,False,False,4547.0,85.1,37.0,27.0,53.099999999999994,89.9,1769.0,58.0,46.0,82.5,2147.0,23.0,14.0,75.6,176.0,18.0,13.0,77.1,95.2,81.0,7.400000000000006,35.0,32.0
4243,Dysart Unified District,Maricopa County,complete,False,False,False,1904.0,94.6,46.0,37.0,53.099999999999994,96.9,741.0,58.0,47.0,93.6,825.0,37.0,29.0,85.7,,46.0,36.0,96.0,96.4,91.7,3.3000000000000114,21.0,18.0
4393,Show Low Unified District ,Navajo County,complete,False,False,False,242.0,88.4,42.0,29.0,52.900000000000006,90.5,168.0,51.0,34.0,89.8,,22.0,16.0,80.0,,8.0,8.0,50.0,66.7,79.4,0.7000000000000028,29.0,18.0
4192,Flagstaff Unified District,Coconino County,complete,False,False,False,881.0,84.7,41.0,23.0,52.7,88.6,341.0,63.0,37.0,80.5,262.0,34.0,15.0,86.0,222.0,16.0,8.0,57.1,,88.8,8.099999999999994,29.0,22.0
4394,Whiteriver Unified District,Navajo County,complete,False,False,False,208.0,57.2,6.0,3.0,52.7,,,,,,,,,57.9,197.0,6.0,3.0,,,,,,
4469,Humboldt Unified District,Yavapai County,complete,False,False,False,418.0,86.8,40.0,29.0,52.3,87.8,205.0,49.0,37.0,86.0,186.0,28.0,16.0,,,67.0,33.0,,,,1.7999999999999972,21.0,21.0
4157,Ganado Unified School District,Apache County,complete,False,False,False,97.0,63.9,14.0,13.0,50.4,,,,,,,,,68.2,85.0,16.0,13.0,,,,,,
4368,Lake Havasu Unified District,Mohave County,complete,False,False,False,532.0,84.8,42.0,28.0,49.8,84.8,349.0,44.0,31.0,84.2,146.0,35.0,15.0,,,20.0,20.0,75.0,81.8,80.8,0.5999999999999943,9.0,16.0
4220,Pima Unified District,Graham County,complete,False,False,False,83.0,85.5,44.0,28.0,49.5,91.7,,46.0,34.0,66.7,,32.0,9.0,,,,,,,86.7,25.0,14.0,25.0
79598,Kingman Unified School District,Mohave County,complete,False,False,False,632.0,71.4,28.0,16.0,49.400000000000006,73.2,392.0,31.0,20.0,71.8,163.0,21.0,10.0,71.4,,10.0,,50.0,,65.3,1.4000000000000057,10.0,10.0
79226,Benson Unified School District,Cochise County,complete,False,False,False,130.0,90.8,49.0,36.0,48.3,89.6,,48.0,37.0,92.9,,46.0,32.0,,,,,,,92.3,-3.3000000000000114,2.0,5.0
4285,Glendale Union High School District,Maricopa County,complete,False,False,False,3644.0,87.4,45.0,34.0,47.900000000000006,88.6,766.0,62.0,52.0,87.5,2237.0,39.0,29.0,83.3,78.0,33.0,27.0,86.0,92.6,71.8,1.0999999999999943,23.0,23.0
4209,Payson Unified District,Gila County,complete,False,False,False,171.0,80.1,40.0,26.0,47.099999999999994,77.1,105.0,50.0,30.0,,48.0,19.0,17.0,,,20.0,20.0,,,,,31.0,13.0
4245,Queen Creek Unified District,Maricopa County,complete,False,False,False,1044.0,94.6,55.0,47.0,43.599999999999994,95.1,634.0,59.0,51.0,94.5,271.0,48.0,41.0,,,50.0,20.0,88.9,96.3,90.5,0.5999999999999943,11.0,10.0
4247,Fountain Hills Unified District,Maricopa County,complete,False,False,False,120.0,90.0,45.0,49.0,43.0,89.6,,51.0,58.0,86.7,,22.0,20.0,95.8,,18.0,18.0,,,83.3,2.8999999999999915,29.0,38.0
4153,St Johns Unified District,Apache County,complete,False,False,False,81.0,84.0,39.0,44.0,42.5,85.2,,45.0,49.0,75.0,,33.0,28.0,85.7,,17.0,50.0,,,85.7,10.200000000000003,12.0,21.0
4239,Gilbert Unified District,Maricopa County,complete,False,False,False,2931.0,92.1,53.0,47.0,42.099999999999994,93.8,1704.0,58.0,54.0,92.0,772.0,43.0,32.0,91.2,,31.0,17.0,87.5,96.1,83.2,1.7999999999999972,15.0,22.0
4466,Prescott Unified District,Yavapai County,complete,False,False,False,427.0,84.1,51.0,37.0,40.099999999999994,86.6,298.0,56.0,43.0,73.9,88.0,35.0,26.0,83.3,,25.0,,,,70.0,12.699999999999989,21.0,17.0
4287,Tempe Union High School District,Maricopa County,complete,False,False,False,2803.0,89.2,57.0,42.0,39.7,92.2,912.0,76.0,65.0,89.2,1158.0,45.0,29.0,77.3,97.0,29.0,22.0,84.4,93.5,80.3,3.0,31.0,36.0
4246,Deer Valley Unified District,Maricopa County,complete,False,False,False,2640.0,96.0,63.0,51.0,39.0,97.2,1698.0,69.0,56.0,91.7,530.0,43.0,30.0,88.5,,25.0,25.0,95.5,,90.9,5.5,26.0,26.0
4248,Higley Unified School District,Maricopa County,complete,False,False,False,1106.0,96.4,61.0,54.0,38.900000000000006,96.4,638.0,66.0,61.0,95.7,257.0,56.0,40.0,,,,,94.4,,91.5,0.7000000000000028,10.0,21.0
4413,Vail Unified District,Pima County,complete,False,False,False,1254.0,93.1,60.0,49.0,38.599999999999994,93.6,597.0,66.0,57.0,93.2,482.0,50.0,38.0,,,75.0,50.0,87.9,,83.5,0.3999999999999915,16.0,19.0
4406,Amphitheater Unified District,Pima County,complete,False,False,False,1166.0,85.5,52.0,43.0,38.0,89.1,548.0,68.0,58.0,84.2,449.0,39.0,30.0,81.8,,27.0,9.0,75.0,92.3,77.6,4.8999999999999915,29.0,28.0
4241,Paradise Valley Unified District,Maricopa County,complete,False,False,False,2308.0,90.0,57.0,48.0,37.5,93.7,1222.0,69.0,60.0,84.8,703.0,34.0,25.0,78.9,,40.0,41.0,85.3,94.2,77.4,8.900000000000006,35.0,35.0
4240,Scottsdale Unified District,Maricopa County,complete,False,False,False,1944.0,94.2,63.0,55.0,35.2,96.2,1165.0,74.0,63.0,91.1,447.0,36.0,32.0,95.6,,35.0,25.0,85.7,92.7,75.6,5.1000000000000085,38.0,31.0
